,Company,Gross Direct Premium ,Inward Reinsurance_x000D_,Outward Reinsurance ,Net Premium Written,UPR B/F, Unexpired Risk Reserve (B/F) ,UPR C/F_x000D_, Unexpired Risk Reserve (B/F) .1,Net Earned Premium Income,Incurred Claims,Net Commisions,Expense of Management ,Underwriting Profit /(Loss),Investment Income,Profit transferred to P&L,years
0,INSURERS,,,,,,,,,,,,,,,,2017
1,AAR INSURANCE KENYA,5799296.0,0.0,2132451.0,3666845.0,3235350.0,0.0,1676743.0,0.0,5225452.0,4228107.0,478073.0,1229204.0,-709932.0,0.0,-709932.0,2017
2,AFRICAN MERCHANT ASSURANCE ,2470946.0,59136.0,633836.0,1896246.0,1078654.0,0.0,645412.0,0.0,2329488.0,1494221.0,104538.0,908101.0,-177372.0,151952.0,-25421.0,2017
3,AIG INSURANCE COMPANY,3647387.0,78207.0,2718525.0,1007070.0,772460.0,0.0,295730.0,0.0,1483800.0,849561.0,-280856.0,650855.0,264241.0,0.0,264241.0,2017
4,ALLIANZ INSURANCE COMPANY,346888.0,0.0,157005.0,189883.0,25729.0,0.0,85741.0,0.0,129871.0,89880.0,26436.0,225488.0,-211932.0,35350.0,-176582.0,2017
5,APA INSURANCE COMPANY,8100695.0,202380.0,2564081.0,5738994.0,2467639.0,0.0,2067579.0,50809.0,6088245.0,4097310.0,458911.0,1465891.0,66133.0,0.0,66133.0,2017
6,BRITAM GENERAL INSURANCE,8042402.0,0.0,1334348.0,6708053.0,2530765.0,98165.0,2397155.0,94336.0,6845492.0,4057175.0,708511.0,2408293.0,-328487.0,873087.0,544601.0,2017
7,CANNON ASSURANCE COMPANY ,1269816.0,13926.0,428488.0,855253.0,558806.0,105413.0,418415.0,71008.0,1030050.0,780227.0,59820.0,463204.0,-273201.0,0.0,-273201.0,2017
8,CIC GENERAL INSURANCE COMPANY,10141109.0,0.0,1442134.0,8698975.0,3366626.0,0.0,3712099.0,0.0,8353502.0,5616982.0,893961.0,2392246.0,-549687.0,884899.0,335212.0,2017
9,CORPORATE INSURANCE COMPANY,310325.0,43223.0,57179.0,296369.0,111255.0,0.0,107269.0,0.0,300355.0,125993.0,28486.0,142055.0,3821.0,39061.0,42883.0,2017
10,DIRECTLINE ASSURANCE COMPANY,3086232.0,0.0,84840.0,3001392.0,904419.0,0.0,693915.0,0.0,3211896.0,1937162.0,344152.0,827424.0,103159.0,0.0,103159.0,2017
11,FIDELITY SHIELD INSURANCE  ,2360849.0,28766.0,697050.0,1692564.0,498708.0,0.0,686163.0,0.0,1505109.0,947073.0,133491.0,416800.0,7744.0,0.0,7744.0,2017
12,FIRST ASSURANCE COMPANY,2907035.0,76036.0,1329794.0,1653277.0,753348.0,0.0,664752.0,27444.0,1714429.0,1023704.0,127378.0,757594.0,-194247.0,0.0,-194247.0,2017
13,GA INSURANCE COMPANY,5547255.0,63897.0,2748325.0,2862827.0,1006666.0,0.0,1157317.0,0.0,2712176.0,1602086.0,32562.0,680585.0,396943.0,644676.0,1041618.0,2017
14,GEMINIA INSURANCE COMPANY ,3367414.0,44188.0,575255.0,2836347.0,866012.0,0.0,1310846.0,0.0,2391513.0,1476283.0,267501.0,496063.0,151666.0,246010.0,397677.0,2017
15,HERITAGE INSURANCE COMPANY,5914746.0,28350.0,2788838.0,3154258.0,1208120.0,0.0,1264377.0,0.0,3098001.0,1501360.0,25895.0,1306751.0,263995.0,625713.0,889708.0,2017
16,ICEA LION GENERAL INSURANCE,6051487.0,51843.0,2666996.0,3436333.0,1373209.0,0.0,1071633.0,0.0,3737910.0,2200520.0,302919.0,1007643.0,226828.0,0.0,226828.0,2017
17,INTRA-AFRICA ASSURANCE ,1034428.0,0.0,171705.0,862723.0,379991.0,0.0,368795.0,0.0,873919.0,470288.0,62685.0,328750.0,12196.0,18358.0,30554.0,2017
18,INVESCO ASSURANCE COMPANY ,2070194.0,0.0,191559.0,1878635.0,321883.0,0.0,216827.0,0.0,1983691.0,1161097.0,217348.0,868201.0,-262954.0,0.0,-262954.0,2017
19,JUBILEE INSURANCE COMPANY,11313367.0,162864.0,3505797.0,7970434.0,4134666.0,0.0,2907014.0,0.0,9198086.0,5584300.0,707113.0,1846791.0,1059882.0,937247.0,1997129.0,2017
20,KENINDIA ASSURANCE COMPANY ,2966570.0,47962.0,1088336.0,1926196.0,737705.0,0.0,679437.0,0.0,1984463.0,1337550.0,158388.0,644129.0,-155605.0,504788.0,349183.0,2017
21,KENYA ORIENT INSURANCE,1847117.0,40593.0,265436.0,1622274.0,1081841.0,0.0,702279.0,0.0,2001836.0,1191244.0,147217.0,678072.0,-14696.0,0.0,-14696.0,2017
22,MADISON INSURANCE COMPANY,3887818.0,42475.0,113648.0,3816645.0,1215887.0,0.0,1722429.0,0.0,3310103.0,2334621.0,341068.0,736971.0,-102558.0,174166.0,71608.0,2017
23,MAYFAIR INSURANCE COMPANY,2353361.0,78059.0,1068744.0,1362676.0,456003.0,0.0,495996.0,0.0,1322682.0,618725.0,99088.0,344114.0,260755.0,0.0,260755.0,2017
24,OCCIDENTAL INSURANCE COMPANY ,2586467.0,10925.0,674258.0,1923134.0,462599.0,0.0,665608.0,0.0,1720125.0,1152401.0,196148.0,410238.0,-38662.0,233459.0,194797.0,2017
25,PACIS INSURANCE COMPANY,1217079.0,0.0,256445.0,960633.0,349912.0,0.0,417039.0,0.0,893507.0,378487.0,119222.0,417282.0,-21484.0,91211.0,69726.0,2017
26,PHOENIX OF EAST AFRICA,557913.0,106842.0,343145.0,321610.0,104229.0,0.0,122062.0,0.0,303777.0,73484.0,37001.0,354226.0,-160935.0,146068.0,-14867.0,2017
27,PIONEER GENERAL INSURANCE,325521.0,777.0,146162.0,180136.0,0.0,0.0,95990.0,0.0,84145.0,39294.0,-199.0,98651.0,-53601.0,0.0,-53601.0,2017
28,RESOLUTION INSURANCE COMPANY,4947645.0,0.0,2391052.0,2556593.0,661858.0,0.0,1305108.0,0.0,1913344.0,1437995.0,193582.0,1062750.0,-780984.0,62356.0,-718628.0,2017
29,SAHAM INSURANCE COMPANY ,2138855.0,12340.0,1173847.0,977348.0,320220.0,0.0,433802.0,55442.0,808324.0,423575.0,-54852.0,434471.0,5129.0,99674.0,104803.0,2017
30,SANLAM GENERAL INSURANCE ,2154915.0,0.0,554308.0,1600608.0,380767.0,0.0,492768.0,0.0,1488607.0,769876.0,61465.0,616370.0,40895.0,61612.0,102508.0,2017
31,TAKAFUL INSURANCE OF AFRICA,847826.0,0.0,209552.0,638274.0,334641.0,-6685.0,474387.0,0.0,491842.0,189066.0,-10528.0,519079.0,-205776.0,30243.0,-175533.0,2017
32,TAUSI ASSURANCE COMPANY,1045522.0,15547.0,329555.0,731514.0,232469.0,0.0,219998.0,0.0,743986.0,242928.0,87735.0,307223.0,106099.0,0.0,106099.0,2017
33,THE KENYAN ALLIANCE INSURANCE ,1156076.0,1887.0,145053.0,1012911.0,492347.0,0.0,564157.0,0.0,941101.0,356673.0,77249.0,507672.0,-493.0,274329.0,273837.0,2017
34,THE MONARCH INSURANCE ,1160022.0,35317.0,129011.0,1066328.0,406522.0,0.0,476687.0,0.0,996163.0,463987.0,56294.0,407188.0,68694.0,0.0,68694.0,2017
35,TRIDENT INSURANCE COMPANY ,1331853.0,32231.0,501394.0,862690.0,601756.0,0.0,519097.0,0.0,945349.0,473039.0,30464.0,561132.0,-119287.0,0.0,-119287.0,2017
36,UAP INSURANCE COMPANY,9668823.0,136074.0,1623114.0,8181783.0,3286390.0,0.0,3279558.0,0.0,8188615.0,5039847.0,714138.0,2126102.0,308529.0,1015619.0,1324148.0,2017
37,XPLICO INSURANCE COMPANY,804371.0,0.0,47956.0,756415.0,360685.0,0.0,171929.0,0.0,945171.0,385845.0,94377.0,477616.0,-12667.0,3498.0,-9169.0,2017
38,TOTAL,124779625.0,1413845.0,37289222.0,88904246.0,37080137.0,196893.0,34586113.0,299039.0,91296125.0,56151966.0,7046781.0,29125225.0,-1027851.0,7153376.0,6125527.0,2017
39,REINSURERS,,,,,,,,,,,,,,,,2017
40,CONTINENTAL REINSURANCE,0.0,1860039.0,170866.0,1689173.0,281343.0,0.0,415725.0,0.0,1554791.0,852298.0,516564.0,294780.0,-108851.0,89637.0,-19215.0,2017
41,EAST AFRICA REINSURANCE ,0.0,3268661.0,135988.0,3132673.0,643350.0,0.0,871854.0,0.0,2904169.0,1666793.0,825478.0,289303.0,122595.0,0.0,122595.0,2017
42,KENYA REINSURANCE CORPORATION,0.0,12365407.0,412103.0,11953304.0,4298058.0,0.0,4781322.0,0.0,11470040.0,6206273.0,3217954.0,1675881.0,369932.0,2652941.0,3022873.0,2017
43,TOTAL,0.0,17494107.0,718957.0,16775150.0,5222751.0,0.0,6068901.0,0.0,15929000.0,8725364.0,4559996.0,2259964.0,383676.0,2742578.0,3126253.0,2017
44,Amounts in Thousand Shillings,,,,,,,,,,,,,,,,2017
