,Share Capital,"Share Premium_x000D_
",Revaluation Reserves,Statutory Reserves,Retained Earnings,Other Reserves,"Total Equity_x000D_
",Underwriting Provisions,Actuarial Contract Liabilities,LongTerm Liabilities,Current Liabilities,Total Equity And Liabilities,Land And Buildings,Investment Property,Other Fixed Assets,Government Securities,Other Securities,Investment in Related Companies,Corporate Bonds,Commercial Papers,Debentures,Ordinary Shares Quoted,Ordinary Shares Unquoted,Preference Shares Quoted,Preference Shares Unquoted,Loans Secured & Unsecured,Mortgages,Term Deposits,Cash and Cash Balances,Outstanding Premiums,Other Receivables,Other Assets,Intangible Assets,Total Assets,Amounts in thousand Shillings                                                                                                                                                                                         ,Amounts in thousand Shillings                                                                                                                                                                                               ,Amounts in Thousand Shillings
KENINDIA ASSURANCE COMPANY ,161388.0,0.0,129951.0,318516.0,29214.0,1324750.0,1963819.0,139638.0,31498399.0,13787.0,456487.0,34072130.0,1083940.0,2008654.0,14997.0,30153710.0,0.0,0.0,52525.0,0.0,0.0,134204.0,153.0,0.0,0.0,165586.0,4813.0,119052.0,225760.0,2566.0,94251.0,0.0,11918.0,34072130.0,,,
KENYA ORIENT LIFE ASSURANCE,173000.0,0.0,0.0,56485.0,1350.0,0.0,230835.0,0.0,755898.0,0.0,9827.0,996560.0,0.0,175000.0,16859.0,451206.0,0.0,0.0,24447.0,40488.0,0.0,0.0,57929.0,0.0,0.0,8928.0,0.0,53151.0,50948.0,62014.0,26578.0,16366.0,12646.0,996560.0,,,
KENYA REINSURANCE CORPORATION,500000.0,0.0,0.0,4320953.0,0.0,-7556.0,4813397.0,0.0,2629125.0,0.0,1930084.0,9372605.0,0.0,1675000.0,0.0,2323736.0,0.0,0.0,0.0,0.0,0.0,287773.0,0.0,0.0,0.0,0.0,0.0,4292169.0,6761.0,197772.0,0.0,224675.0,364719.0,9372605.0,,,
LIBERTY LIFE ASSURANCE,612340.0,0.0,384883.0,2061985.0,-506174.0,0.0,2553033.0,514639.0,18827918.0,1059981.0,747364.0,23702935.0,728445.0,1081555.0,79494.0,12641876.0,0.0,0.0,1010285.0,0.0,0.0,3046140.0,194599.0,0.0,0.0,1173627.0,380424.0,2454944.0,233293.0,218418.0,5845.0,301348.0,152642.0,23702935.0,,,
MADISON INSURANCE COMPANY ,450000.0,0.0,0.0,1004633.0,62000.0,0.0,1516633.0,29112.0,10745602.0,294002.0,100361.0,12685710.0,0.0,5414000.0,56789.0,3504129.0,63195.0,0.0,96068.0,0.0,0.0,6399.0,2397807.0,0.0,0.0,67097.0,98369.0,341051.0,83117.0,189613.0,351675.0,0.0,16402.0,12685710.0,,,
METROPOLITAN CANNON INSURANCE,416726,491067,2500,0,-1089774,590379,410899,273209,1362953,202616,189742,2439419,92500,833000,12888,1014478,0,0,53984,0,0,63161,2963,0,0,16656,29641,168431,13275,76073,0,58748,3620,2439419,,Continued next page,
OLD MUTUAL ASSURANCE COMPANY ,2174871.0,1884957.0,0.0,0.0,-2171124.0,0.0,1888703.0,368393.0,11001928.0,0.0,736173.0,13995198.0,0.0,2271038.0,116893.0,4342140.0,21957.0,0.0,359255.0,0.0,0.0,3303451.0,407159.0,0.0,0.0,173054.0,6157.0,2167387.0,225347.0,56928.0,419346.0,108901.0,16186.0,13995198.0,,,
PIONEER ASSURANCE COMPANY,150000.0,0.0,0.0,564755.0,201464.0,0.0,916219.0,1216891.0,3211813.0,238763.0,1472385.0,7056071.0,0.0,1411500.0,44704.0,466878.0,0.0,0.0,0.0,0.0,0.0,21350.0,0.0,0.0,0.0,151878.0,0.0,395769.0,533059.0,3637501.0,242740.0,144367.0,6325.0,7056071.0,,,
PRUDENTIAL LIFE ASSURANCE,409185.0,2124525.0,0.0,0.0,-1776726.0,0.0,756985.0,0.0,545761.0,0.0,166744.0,1469490.0,0.0,0.0,59209.0,1156659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20606.0,0.0,105052.0,26403.0,18495.0,2901.0,47404.0,32761.0,1469490.0,,,
SAHAM INSURANCE COMPANY,150000.0,0.0,2363.0,0.0,0.0,-14360.0,138002.0,0.0,881570.0,0.0,49863.0,1069436.0,0.0,75000.0,2061.0,544183.0,0.0,0.0,59269.0,0.0,0.0,0.0,0.0,0.0,0.0,8093.0,0.0,268197.0,76352.0,9783.0,0.0,26499.0,0.0,1069436.0,,,
SANLAM LIFE INSURANCE,843138.0,30260.0,0.0,676719.0,560253.0,0.0,2110371.0,0.0,19884722.0,1080451.0,1090926.0,24166469.0,450000.0,2924000.0,150510.0,14322898.0,1280221.0,0.0,1254774.0,0.0,0.0,2157370.0,0.0,0.0,0.0,309745.0,99780.0,364404.0,248900.0,174548.0,0.0,273691.0,155628.0,24166469.0,,,
TAKAFUL INSURANCE OF AFRICA,150000.0,0.0,0.0,8454.0,0.0,9000.0,167454.0,0.0,0.0,0.0,121749.0,289203.0,0.0,0.0,0.0,52532.0,0.0,0.0,26640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114679.0,18125.0,58085.0,19141.0,0.0,0.0,289203.0,,,
THE KENYAN ALLIANCE INSURANCE ,400000.0,0.0,0.0,6000.0,0.0,72117.0,478117.0,182689.0,2394863.0,0.0,106579.0,3162247.0,132500.0,1241500.0,1177.0,280683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.0,0.0,1219628.0,155.0,35907.0,65338.0,183962.0,0.0,3162247.0,,,
THE MONARCH INSURANCE COMPANY ,154976.0,0.0,0.0,61012.0,0.0,151510.0,367498.0,77487.0,211640.0,0.0,80089.0,736715.0,0.0,361916.0,21217.0,69201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30585.0,1414.0,120918.0,129018.0,394.0,2053.0,736715.0,,,
UAP LIFE ASSURANCE COMPANY,1585456.0,0.0,27534.0,311922.0,-49818.0,0.0,1875093.0,550972.0,8213387.0,130940.0,494024.0,11264416.0,0.0,840000.0,33476.0,6466578.0,0.0,0.0,638676.0,0.0,0.0,1586635.0,15701.0,0.0,0.0,16700.0,59790.0,859373.0,241310.0,451283.0,41644.0,13250.0,0.0,11264416.0,,,
TOTAL,13365080.0,4530809.0,548781.0,19295953.0,-372408.0,10305044.0,47673259.0,6366035.0,329208376.0,7953626.0,13197498.0,404398793.0,2607848.0,46366621.0,1163058.0,233233812.0,1924313.0,4957427.0,6992856.0,155474.0,0.0,31122203.0,6641850.0,0.0,0.0,5618029.0,2511243.0,25880081.0,4108766.0,8609643.0,4162214.0,16322820.0,2020532.0,404398793.0,,,
APA LIFE ASSURANCE COMPANY ,550000.0,0.0,7413.0,23399.0,-134467.0,0.0,446345.0,198648.0,3901491.0,10028.0,126249.0,4682761.0,0.0,273000.0,13176.0,3276180.0,41017.0,0.0,92163.0,92953.0,0.0,191202.0,12887.0,0.0,0.0,20958.0,0.0,398038.0,21492.0,199905.0,25733.0,13690.0,10367.0,4682761.0,,,
BARCLAYS LIFE ASSURANCE ,699000.0,0.0,2760.0,-519311.0,350408.0,0.0,532857.0,0.0,1580737.0,400000.0,289161.0,2802756.0,0.0,0.0,38820.0,1711198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194868.0,29744.0,190517.0,37141.0,600469.0,0.0,2802756.0,,,
BRITAM LIFE ASSURANCE,180000.0,0.0,0.0,0.0,0.0,8489961.0,8669961.0,811829.0,48199310.0,3424054.0,2071125.0,63176279.0,138720.0,4578915.0,365141.0,16199210.0,8349518.0,3000275.0,756346.0,0.0,0.0,8010794.0,143910.0,0.0,0.0,1076466.0,1178306.0,1849555.0,872866.0,354689.0,623864.0,14692273.0,985431.0,63176279.0,,,
CANNON ASSURANCE COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
CAPEX LIFE ASSURANCE COMPANY ,150000.0,0.0,778.0,32225.0,0.0,143219.0,326222.0,1006.0,282650.0,0.0,58480.0,668357.0,0.0,501500.0,5184.0,85600.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38000.0,1783.0,1938.0,0.0,34350.0,0.0,668357.0,,,
CIC LIFE ASSURANCE COMPANY ,800000.0,0.0,0.0,1102610.0,216178.0,-86912.0,2031876.0,346387.0,6900326.0,473809.0,532666.0,10285064.0,0.0,2160875.0,140986.0,3528143.0,598599.0,0.0,376394.0,0.0,0.0,640727.0,6420.0,0.0,0.0,305211.0,153612.0,789725.0,83756.0,572808.0,326564.0,594156.0,7087.0,10285064.0,,,
CONTINENTAL REINSURANCE PLC,300000.0,0.0,-75.0,21057.0,0.0,110216.0,431197.0,68310.0,0.0,30844.0,50590.0,580942.0,0.0,0.0,0.0,366627.0,0.0,0.0,10194.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,0.0,120754.0,2518.0,46817.0,0.0,33477.0,0.0,580942.0,,,
CORPORATE INSURANCE COMPANY ,150000.0,0.0,0.0,152203.0,0.0,0.0,302203.0,10705.0,505664.0,0.0,100707.0,919280.0,0.0,370000.0,664.0,187244.0,0.0,0.0,0.0,0.0,0.0,1478.0,1151.0,0.0,0.0,63972.0,0.0,285734.0,6412.0,0.0,2623.0,0.0,0.0,919280.0,,,
EAST AFRICA REINSURANCE COMPANY,500000,0,515349,0,0,0,1015349,160050,132997,220864,133031,1662291,0,0,0,1057736,0,0,87640,0,0,38511,0,0,0,0,0,305367,17960,122179,32503,394,0,1662291,Continued next page,,
FIRST ASSURANCE COMPANY ,150000.0,0.0,0.0,191243.0,0.0,0.0,341243.0,4857.0,13557.0,82776.0,47311.0,489745.0,0.0,78000.0,9.0,257397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61872.0,18230.0,60330.0,13908.0,0.0,0.0,489745.0,,,
GA LIFE ASSURANCE LIMITED,200000.0,0.0,0.0,48944.0,39043.0,0.0,287987.0,892.0,5632985.0,20976.0,46957.0,5989797.0,0.0,1107574.0,574.0,4303353.0,0.0,0.0,180326.0,0.0,0.0,125384.0,0.0,0.0,0.0,2832.0,0.0,82484.0,93428.0,592.0,0.0,83374.0,9877.0,5989797.0,,,
GEMINIA INSURANCE COMPANY ,150000.0,0.0,0.0,143892.0,0.0,0.0,293892.0,65338.0,662213.0,0.0,55917.0,1077361.0,0.0,0.0,0.0,584800.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1801.0,0.0,411369.0,2132.0,29858.0,25018.0,20882.0,0.0,1077361.0,,,
ICEA LION LIFE ASSURANCE COMPANY,450000.0,0.0,0.0,6866906.0,2326549.0,0.0,9643455.0,104731.0,58283479.0,1346859.0,439214.0,69817738.0,0.0,10276000.0,94985.0,46471881.0,0.0,826490.0,1429498.0,0.0,0.0,6162426.0,0.0,0.0,0.0,513451.0,493759.0,3099594.0,46740.0,0.0,28266.0,356417.0,18232.0,69817738.0,,,
JUBILEE INSURANCE COMPANY,500000.0,0.0,30241.0,2185074.0,1404935.0,0.0,4120250.0,915268.0,57478513.0,63508.0,841481.0,63419020.0,0.0,4378402.0,54642.0,40823771.0,0.0,1861792.0,889689.0,0.0,0.0,6086763.0,2560392.0,0.0,0.0,758796.0,0.0,4733664.0,305971.0,482738.0,198361.0,261917.0,22122.0,63419020.0,,,
KENINDIA ASSURANCE COMPANY,161388.0,0.0,51009.0,318516.0,22379.0,1222276.0,1775568.0,90451.0,28176350.0,34760.0,352198.0,30429328.0,1122662.0,1902289.0,18330.0,26482642.0,0.0,0.0,52780.0,115707.0,0.0,178015.0,153.0,0.0,0.0,91521.0,4813.0,195798.0,156814.0,2441.0,92107.0,0.0,13255.0,30429328.0,,,
KENYA ORIENT LIFE ASSURANCE ,173000.0,0.0,0.0,50398.0,5625.0,0.0,229022.0,24697.0,468224.0,0.0,12933.0,734877.0,0.0,0.0,16253.0,350275.0,0.0,0.0,24125.0,61132.0,0.0,0.0,69514.0,0.0,0.0,9751.0,0.0,79004.0,13918.0,72081.0,17040.0,21565.0,219.0,734877.0,,,
KENYA REINSURANCE CORPORATION,0.0,0.0,0.0,3885371.0,0.0,39841.0,3925212.0,0.0,2392423.0,0.0,1789557.0,8107192.0,0.0,1590200.0,0.0,2174055.0,0.0,0.0,0.0,0.0,0.0,309075.0,0.0,0.0,0.0,0.0,0.0,2879785.0,4799.0,228378.0,0.0,587288.0,333612.0,8107192.0,,,
LIBERTY LIFE ASSURANCE KENYA,612340.0,0.0,376565.0,1938342.0,-318641.0,0.0,2608606.0,408599.0,19804665.0,992103.0,680850.0,24494824.0,559096.0,1066500.0,109828.0,13722107.0,0.0,0.0,1629501.0,0.0,0.0,3395111.0,196646.0,0.0,0.0,1189541.0,423065.0,1214386.0,232001.0,231975.0,220433.0,175897.0,128736.0,24494824.0,,,
MADISON INSURANCE COMPANY,150000,0,0,1350550,62000,0,1562550,68181,8174270,473591,103089,10381681,0,4555394,59644,2583070,116215,0,133144,0,0,29410,2005683,0,0,110962,31459,200478,56390,45952,433967,0,19914,10381681,,Continued next page,
METROPOLITAN CANNON ASSURANCE ,416726.0,491067.0,0.0,0.0,-1104935.0,710379.0,513237.0,233687.0,1564915.0,205063.0,216669.0,2733570.0,90000.0,755000.0,14924.0,1010511.0,0.0,0.0,64840.0,0.0,0.0,120939.0,2963.0,0.0,0.0,16230.0,76857.0,171467.0,58226.0,285907.0,0.0,60727.0,4978.0,2733570.0,,,
OLD MUTUAL ASSURANCE COMPANY ,2174871.0,1884957.0,0.0,0.0,-2412947.0,0.0,1646880.0,464018.0,11702756.0,0.0,837945.0,14651599.0,0.0,2270000.0,71139.0,4989633.0,20904.0,0.0,597279.0,0.0,0.0,3762539.0,441004.0,0.0,0.0,252539.0,24344.0,1295279.0,250745.0,120222.0,297050.0,238930.0,19994.0,14651599.0,,,
PIONEER ASSURANCE COMPANY,150000.0,0.0,0.0,564755.0,259258.0,0.0,974013.0,739710.0,3081363.0,257531.0,236337.0,5288954.0,0.0,1241847.0,35702.0,285135.0,0.0,0.0,1000.0,0.0,0.0,23992.0,0.0,0.0,0.0,123111.0,0.0,684975.0,702926.0,1858708.0,191119.0,130808.0,9630.0,5288954.0,,,
PRUDENTIAL LIFE ASSURANCE,406185.0,1824014.0,0.0,0.0,-1523534.0,0.0,706665.0,78736.0,471245.0,0.0,120877.0,1377523.0,0.0,0.0,41964.0,1093221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19482.0,0.0,59757.0,31460.0,17544.0,2490.0,70681.0,40924.0,1377523.0,,,
SAHAM INSURANCE COMPANY,150000.0,0.0,2363.0,0.0,0.0,-14360.0,138002.0,0.0,1091826.0,0.0,39151.0,1268979.0,0.0,75000.0,2894.0,753059.0,0.0,0.0,66202.0,0.0,0.0,1865.0,0.0,0.0,0.0,8621.0,0.0,275353.0,47031.0,6885.0,0.0,32070.0,0.0,1268979.0,,,
SANLAM LIFE INSURANCE,200000.0,30260.0,0.0,1173007.0,560253.0,0.0,1963521.0,0.0,20594688.0,747449.0,1469902.0,24775559.0,860000.0,2409000.0,126521.0,12190872.0,1734972.0,0.0,2596999.0,0.0,0.0,3400973.0,0.0,0.0,0.0,81640.0,190182.0,426463.0,205428.0,209064.0,0.0,158473.0,184974.0,24775559.0,,,
TAKAFUL INSURANCE OF AFRICA,150000.0,0.0,0.0,41155.0,0.0,0.0,191155.0,11465.0,52007.0,0.0,31948.0,286574.0,0.0,0.0,0.0,53071.0,0.0,0.0,28384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125369.0,40423.0,0.0,39327.0,0.0,286574.0,,,
THE KENYAN ALLIANCE INSURANCE ,400000.0,0.0,107075.0,6000.0,40029.0,0.0,553104.0,36357.0,2307919.0,18049.0,113919.0,3029348.0,125000.0,704500.0,1661.0,312852.0,0.0,0.0,53036.0,0.0,0.0,0.0,0.0,0.0,0.0,6476.0,0.0,1421104.0,35203.0,79627.0,0.0,289890.0,0.0,3029348.0,,,
THE MONARCH INSURANCE COMPANY ,154976.0,0.0,0.0,24489.0,0.0,151510.0,330975.0,78216.0,128957.0,0.0,66888.0,605036.0,0.0,344009.0,21156.0,48721.0,0.0,17283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,99558.0,0.0,71018.0,2704.0,605036.0,,,
UAP LIFE ASSURANCE COMPANY,1585456.0,0.0,27534.0,0.0,129744.0,0.0,1742734.0,771252.0,7865998.0,55603.0,570463.0,11006051.0,0.0,930000.0,36185.0,5508592.0,0.0,0.0,822029.0,0.0,0.0,1823077.0,13876.0,0.0,0.0,15293.0,73303.0,945589.0,193188.0,595210.0,12820.0,36889.0,0.0,11006051.0,,,
TOTAL,11663942.0,4230298.0,1121012.0,19600825.0,-78123.0,10766130.0,47304081.0,5693390.0,291451528.0,8857867.0,11435615.0,364742486.0,2895478.0,41568005.0,1270382.0,190410956.0,10861225.0,5705840.0,9893069.0,269792.0,0.0,34302283.0,5454599.0,0.0,0.0,4669209.0,2649700.0,22220462.0,3617116.0,5956346.0,2581007.0,18604962.0,1812056.0,364742486.0,,,
