,SHARE CAPITAL,SHARE PREMIUM,REVALUATION RESERVES,STATUTORY RESERVES,RETAINED EARNINGS,OTHER RESERVES,TOTAL EQUITY,UNDERWRITING PROVISIONS,ACTUARIAL CONTRACT LIABILITIES,LONGTERM LIABILITIES,CURRENT LIABILITIES,TOTAL EQUITY AND LIABILITIES,LAND AND BUILDINGS,INVESTMENT PROPERTY,OTHER FIXED ASSETS,GOVERNMENT SECURITIES,OTHER SECURITIES,INVESTMENT IN RELATED COMPANIES,CORPORATE BONDS,COMMERCIAL PAPERS,DEBENTURES,ORDINARY SHARES QUOTED,ORDINARY SHARES UNQUOTED,PREFERENCE SHARES QUOTED,PREFERENCE SHARES UNQUOTED,LOANS SECURED & UNSECURED,MORTGAGES,TERM DEPOSITS,CASH AND CASH BALANCES,OUTSTANDING PREMIUMS,OTHER RECEIVABLES,OTHER ASSETS,INTANGIBLE ASSETS,TOTAL ASSETS
JUBILEE INSURANCE COMPANY,2000000,-,821503,-,2635029,-,5456532,5459191,-,-,1478214,12393937,-,-,43965,2513031,-,1528928,137570,-,-,2599458,567415,-,-,16045,-,1074302,285106,2756342,517580,86655,267538,12393937
KENINDIA ASSURANCE COMPANY,400000,1198,47712,-,895324,236119,1580353,2280443,-,-,1969287,5830082,588712,1314880,68161,851492,-,81905,-,-,-,84529,122779,-,-,1169,-,647975,55865,495363,-,1515738,1515,5830082
KENYA ORIENT INSURANCE COMPANY,810721,-,390712,-,71569,50000,1323002,1091622,-,4177,328706,2747508,82491,413302,53607,174580,-,26685,5247,-,-,4395,1058431,-,-,-,-,116725,101969,358898,128809,72709,149660,2747508
KENYA REINSURANCE CORPORATION,1749873,-,6965,-,13441918,2215905,17414661,8529016,-,-,299333,26243009,56892,5995000,92647,6153160,-,2008062,419134,-,-,3256846,167113,129,-,-,714956,3521390,224684,2036906,103009,251222,1241858,26243009
MADISON INSURANCE COMPANY,300000,-,-,-,415557,-,715557,755376,-,-,97750,1568683,-,192000,52492,110403,-,-,-,-,-,-,317169,-,-,-,-,253940,14786,429163,102628,24780,71323,1568683
MAYFAIR INSURANCE COMPANY,350000,-,326374,-,513214,-,1189588,1488211,-,-,468784,3146583,178571,389357,77462,334893,-,263033,112164,-,-,266971,426075,-,-,15449,-,676560,24324,234610,-,145224,1891,3146583
OCCIDENTAL INSURANCE COMPANY,346500,-,18214,-,487724,45045,897483,1235472,-,-,289074,2422028,-,440000,27175,640758,-,-,18574,-,-,128307,100825,-,-,-,-,394707,76573,531144,46107,17858,-,2422028
PACIS INSURANCE COMPANY,300000,4043,-,-,472984,-45,776982,742354,-,54874,85603,1659813,88060,672000,60436,151570,-,-,-,-,-,3979,-,-,-,-,-,68215,25254,450247,-,74191,65861,1659813
PHOENIX OF EAST AFRICA ASSURANCE,300000,-,219244,-,1122005,-,1641250,238300,-,-,168893,2048443,-,-,16569,138500,-,143807,-,-,-,362374,-,-,-,7742,-,955009,28966,131937,2486,240344,20709,2048443
REAL INSURANCE COMPANY LIMITED,550000,-,-,-,34916,-,584916,1934998,-,581,647965,3168460,-,-,20350,254561,-,215588,35000,-,-,421622,-,-,-,-,-,1065023,147029,826313,45500,76806,60667,3168460
RESOLUTION HEALTH INSURANCE COMPANY,330000,270000,4496,-,-54908,-,549588,1791549,-,-,156795,2497932,-,-,121729,145859,-,-,-,-,-,-,-,-,-,13624,-,413100,493695,1075371,36611,48376,149567,2497932
SAHAM ASSURANCE COMPANY,300000,-,2746,-,140189,9000,451935,258189,-,-,120726,830850,-,-,16837,246356,-,-,88402,-,-,43616,-,-,-,3793,-,312846,52539,45782,-,20678,-,830850
TAKAFUL INSURANCE OF AFRICA,450203,30000,-,-,-142426,146400,484177,495094,-,-,141322,1120594,-,-,28946,31969,55000,-,-,-,-,-,-,-,-,-,-,344107,111592,334067,-,158819,56093,1120594
TAUSI ASSURANCE COMPANY,502244,-,114158,-,262268,1731,880401,716894,-,38219,62410,1697924,220945,-,22139,583346,36126,-,-,-,-,157485,7116,-,-,8819,90723,333120,44801,57416,43691,90442,1756,1697924
THE KENYAN ALLIANCE INSURANCE COMPANY,300000,-,72384,-,1047171,20281,1439836,1390069,-,49978,183410,3063293,93013,1389849,48795,150000,-,-,25650,-,-,44259,-,-,-,16739,-,488072,44419,546599,69436,81089,65373,3063293
THE MONARCH INSURANCE COMPANY,316476,-,-,-,53074,50000,419550,411301,-,-,55882,886734,-,275775,3110,101343,-,-,-,-,-,6804,59,-,-,-,-,43303,12521,296335,3980,104123,39380,886734
TRIDENT INSURANCE COMPANY,500000,-,205130,-,1392751,25000,2122881,1609721,-,-5270,184633,3911965,231034,1345399,16584,289450,19562,-,27500,-,-,8048,7985,-,-,1251207,-,25000,12000,626122,40330,2225,9520,3911965
UAP INSURANCE COMPANY,600000,-,2214103,-,5000603,1000000,8814706,4704132,-,-,1183369,14702207,2700,3450000,86048,1926009,-,-,468141,207761,-,3414252,54404,-,-,1479292,218149,248818,382229,1526091,634733,391636,211943,14702207
XPLICO INSURANCE COMPANY,407500,-,19670,-,55615,-,482785,615106,-,-,163947,1261838,77300,-,123548,90000,103000,25251,-,-,-,-,-,-,-,983,-,334281,28229,263260,131887,74702,9397,1261838
TOTAL,22506742,905899,7489582,-,43372281,5960188,80234692,84550794,-,743084,15915578,181444155,4521522,30385052,2444336,32901506,628616,5297756,3302168,959138,-,16526262,3558468,129,-,3840032,1510987,29190273,4504346,26706490,4626605,5403042,5137421,181444155
"AAR INSURANCE
KENYA",300000,1000,-,-,44501,-,345501,909657,-,-,543103,1798261,-,-,18320,277076,-,-,-,-,-,-,-,-,-,-,-,894526,61964,319234,211790,-,,1798261
AFRICAN MERCHANT ASSURANCE COMPANY,535000,-,-,-,318291,6443,859734,1202256,-,-,183866,2245856,-,442500,102033,217000,-,-,34775,-,-,11656,-,-,-,9011,-,726356,113884,484594,28168,74504,,2245856
AIG INSURANCE COMPANY,450000,-,-46468,-,954171,-,1357702,1361199,-,-,736317,3455219,-,175000,91646,1952161,-,-,-,-,-,15107,-,-,-,69773,-,418539,190380,417024,-,122819,,3455219
APA INSURANCE COMPANY,750000,-,54281,-,2283020,719610,3806911,6166683,-,6551,513057,10493201,120000,730000,63614,3399995,20144,392940,22969,134161,-,2327968,90109,-,-,180111,6723,1271632,147247,1214066,118738,-,,10493201
"BRITISH AMERICAN
INSURANCE COMPANY",700000,-,-,-,825170,757426,2282596,2125948,-,-,162564,4571108,5202,-,87464,1720292,-,175752,136074,-,-,622553,7241,-,-,-,-,349760,134456,564625,494240,102924,,4571108
CANNON ASSURANCE COMPANY,300000,-,-,-,857430,227222,1384652,1222626,-,-,211532,2818810,80000,917980,17989,384847,-,30000,33673,-,-,421015,313371,-,-,7617,38464,99943,8523,208792,148187,25684,,2818810
CIC GENERAL INSURANCE COMPANY,900000,-,-1838,-,1877149,-,2775311,6826898,-,-,826313,10428522,158326,1260000,302460,1209845,-,-,41639,360711,-,223731,14367,-,-,252400,-,1821599,322914,3184964,868670,14350,,10428522
CONTINENTAL REINSURANCE,391240,-,-,-,54477,-,445718,436389,-,3995,107676,993777,-,-,33042,75085,-,-,8706,-,-,6065,-,-,-,1343,4717,361644,26076,353317,-,2279,,993777
CORPORATE INSURANCE COMPANY,300000,-,-,-,385905,-,685905,314481,-,-,96210,1096596,-,565000,5459,106900,-,-,-,-,-,1913,736,-,-,2000,-,183138,13741,182308,-,32239,,1096596
DIRECTLINE ASSURANCE COMPANY,300000,-,-,-,447453,-75435,672018,3148694,-,-,78929,3899641,-,423000,54874,1080541,-,-,20998,191456,-,163833,-,-,-,152195,-,1022407,486962,51208,78186,88282,,3899641
EAST AFRICA REINSURANCE COMPANY,700000,-,94360,-,875901,13971,1684232,2134783,-,31253,725377,4575645,206609,-,5558,575313,-,-,68309,-,-,42366,-,-,-,5204,34369,2294741,96935,671676,207168,81489,285909,4575645
FIDELITY SHIELD INSURANCE COMPANY,300452,-,66388,-,537207,30045,934093,952600,-,17121,199644,2103458,228556,738744,20716,176433,-,-,-,-,-,100068,-,-,-,12709,33291,233468,29850,460028,10541,24345,34709,2103458
FIRST ASSURANCE COMPANY,450000,-,113269,-,827541,-,1390810,2361369,-,16664,658323,4427166,161500,698204,27809,419854,22180,52929,62769,-,-,63130,-,-,-,20415,-,1815927,43877,674275,6481,150114,207700,4427166
GA GENERAL INSURANCE COMPANY,450000,-,328566,-,677157,169882,1625605,3159937,-,16634,828546,5630722,676600,1002986,37446,901147,-,308827,259670,-,-,228660,260698,-,-,284774,-,724967,79948,623927,4076,49237,187760,5630722
GATEWAY INSURANCE COMPANY,313225,135,228830,-,325362,-,867552,999430,-,-,100677,1967660,205000,975400,26447,169950,-,-,-,-,-,1078,57838,-,-,7654,-,268753,16068,159944,5664,66613,7251,1967660
GEMINIA INSURANCE COMPANY LIMITED,300000,-,326992,-,409368,132108,1168468,1273850,-,885,216750,2659952,20039,721000,32934,417500,35000,-,8500,-,-,170827,4928,-,-,5395,3259,781408,86124,132307,14773,225959,-,2659952
HERITAGE INSURANCE COMPANY,500000,-,-,-,1285450,-,1785450,1752521,-,-,257673,3795645,-,147000,91609,1396845,-,88369,147085,-,-,128640,132428,-,-,47927,331963,620373,86874,316190,256620,-,3722,3795645
ICEA LION GENERAL INSURANCE COMPANY,600000,-,341840,-,2050556,-,2992396,3724987,-,426449,641868,7785700,-,2167500,79903,2537322,-,50147,291576,-,-,459199,-,-,-,25337,-,441276,100504,974666,104949,296759,256563,7785700
INTRA-AFRICA ASSURANCE COMPANY,300000,-,263772,-,137625,7500,708897,670677,-,-,36997,1416571,111175,251525,10446,221200,-,-,-,-,-,61636,-,-,-,9991,12733,185307,27175,406891,92224,22294,3975,1416571
INVESCO ASSURANCE COMPANY,1680000,-,547,-,-1337199,-,343348,2095233,-,-,100147,2538728,80267,1074561,75962,190000,-,-,-,-,-,2620,-,-,-,-,-,290930,186403,-,152716,-,485269,2538728
JUBILEE INSURANCE COMPANY,1000000,-,397489,-,3374754,-,4772243,8358205,-,-,1888596,15019043,-,-,47410,2436189,-,1151147,270904,-,-,2078752,559442,573,-,-,-,904929,105057,3203988,612352,3430154,218148,15019043
KENINDIA ASSURANCE COMPANY,400000,1198,16413,-,1172502,208260,1798373,1962732,-,-,1824557,5585662,524445,1221000,48212,819921,-,71005,-,-,-,66474,119149,-,-,1392,-,606927,147930,1466724,-,490320,2165,5585662
KENYA ORIENT INSURANCE COMPANY,309400,-,125159,-,176184,60000,670743,662590,-,484,163315,1497132,85176,413302,53676,162667,-,26685,5245,-,-,3382,204790,-,-,-,-,75646,3551,298537,54238,42793,67444,1497132
KENYA REINSURANCE CORPORATION,1749873,-,10973,-,11098665,1967023,14826534,6985400,-,-,1098729,22910663,56892,5314000,112874,6726374,-,1652940,141846,-,-,2959393,59965,97,-,3486,734456,1162521,180721,1876203,106117,797375,1025403,22910663
MADISON INSURANCE COMPANY,300000,-,-,-,381408,-,681408,507190,-,-,77913,1266511,-,175000,26287,82762,-,-,-,-,-,-,219252,-,-,-,-,111159,10032,537964,61677,3384,38993,1266511
MAYFAIR INSURANCE COMPANY,350000,-,284704,-,275513,-,910217,1309216,-,-,328123,2547556,170067,370816,71164,289292,-,194271,26770,-,-,199930,193319,-,-,4057,-,695250,20744,118972,-,189934,2970,2547556
MERCANTILE INSURANCE COMPANY,300000,-,94,-,139368,7500,446962,269807,-,-,19594,736363,-,-,19927,230637,-,-,102476,-,-,34609,-,-,-,-,-,219885,26181,57345,45302,-,-,736363
OCCIDENTAL INSURANCE COMPANY,346500,-,17276,51975,323724,,739475,1065009,-,-,259107,2063591,-,400000,31449,642257,-,136326,22288,-,-,27006,100825,-,-,-,-,147668,30914,462241,40997,21620,-,2063591
PACIS INSURANCE COMPANY,300000,5712,-,-,373708,-25,679395,667396,-,179935,98795,1625521,75500,613059,44868,151570,-,-,-,-,-,650,-,-,-,-,-,35881,7978,403518,-,235613,56886,1625521
PHOENIX OF EAST AFRICA ASSURANCE COMPANY,300000,-,852968,-,647918,-,1800886,196293,-,-,80257,2077436,-,-,3336,141000,-,163307,-,-,-,1298210,-,-,-,-,-,66159,12622,149288,1837,219811,21866,2077436
"REAL INSURANCE
COMPANY",300000,-,14829,-,344938,55000,714767,1283804,-,2136,578749,2579456,-,-,42176,183121,-,342116,35000,-,-,65542,-,-,-,-,-,312437,14917,703923,621940,140266,118018,2579456
"RESOLUTION
HEALTH INSURANCE COMPANY",300000,-,-5104,-,45411,-,340307,591443,-,-,505967,1437718,-,-,6267,135313,-,-,-,-,-,-,-,-,-,143547,-,309347,520991,108699,31831,55800,125924,1437718
TAKAFUL INSURANCE OF AFRICA,533366,-,-,-,-106087,-,427279,332476,-,-,86572,846327,-,-,37918,81704,-,50000,-,-,-,-,-,-,-,-,-,323157,115304,148768,-,63444,26033,846327
TAUSI ASSURANCE COMPANY,502244,-,116257,-,176183,2503,797187,688480,-,42628,172022,1700318,225000,-,18693,574718,43337,-,-,-,-,98343,6172,-,-,7789,114110,393142,52715,40523,39395,80941,5440,1700318
THE KENYAN ALLIANCE INSURANCE COMPANY,300000,-,76194,-,955596,129,1331919,1346419,-,-,136991,2815330,95000,1254849,37947,140000,-,-,10000,-,-,23040,-,-,-,19520,-,632153,14836,444621,31164,49887,62313,2815330
THE MONARCH INSURANCE COMPANY,316476,-,-,-,10403,-,326879,339005,-,-,27198,693083,-,230650,30809,66182,-,-,-,-,-,12303,59,-,-,-,-,28112,5944,172236,4274,110864,31649,693083
TRIDENT INSURANCE COMPANY,500000,-,209311,25000,1246161,-,1980472,1345002,-,-6188,207464,3526750,235847,1340811,12392,299536,17922,550000,15000,-,-,6815,7985,-,-,509503,16145,-,57615,392919,55231,-,9030,3526750
UAP INSURANCE COMPANY,600000,-,3049765,-,3178379,420000,7248144,4126213,-,-,1194641,12568998,2700,2945000,100190,1260164,-,-,137164,-,-,3894316,53760,-,-,1321312,195169,130781,139576,1496521,420441,274740,197165,12568998
XPLICO INSURANCE COMPANY,682500,-,14620,-,71835,-,768955,457359,-,-,104106,1330419,72250,-,108468,63000,103000,300262,-,-,-,-,-,-,-,11267,-,169390,150217,217550,-,130109,4906,1330419
TOTAL,19910276,8045,6951487,76975,37723098,4709162,69379044,75334257,-,738547,16078265,161530115,3596151,26568887,2039794,31915713,241583,5737023,1903436,686328,-,15820830,2406434,670,-,3115729,1525399,21131238,3877750,23700576,4929987,7716946,4615650,161530115
