,Share Capital,"Share Premium_x000D_
",Revaluation Reserves,Statutory Reserves,Retained Earnings,Other Reserves,"Total Equity_x000D_
",Underwriting Provisions,Actuarial Contract Liabilities,LongTerm Liabilities,Current Liabilities,Total Equity And Liabilities,Land And Buildings,Investment Property,Other Fixed Assets,Government Securities,Other Securities,Investment in Related Companies,Corporate Bonds,Commercial Papers,Debentures,Ordinary Shares Quoted,Ordinary Shares Unquoted,Preference Shares Quoted,Preference Shares Unquoted,Loans Secured & Unsecured,Mortgages,Term Deposits,Cash and Cash Balances,Outstanding Premiums,Other Receivables,Other Assets,Intangible Assets,Total Assets,Amounts in thousand Shillings                                                                                                                                                                                               ,years, Amounts in thousand Shillings                                                                                                                                                                                              ,Ordinary Shares UnQuoted,Amounts in thousand Shillings
MADISON GENERAL INSURANCE COMPANY,605000.0,0.0,0.0,0.0,565602.0,0.0,1170602.0,2850764.0,0.0,0.0,421944.0,4443310.0,0.0,650000.0,39388.0,459561.0,0.0,0.0,0.0,0.0,0.0,1319.0,490000.0,0.0,0.0,0.0,0.0,1130167.0,135349.0,724747.0,436074.0,0.0,376704.0,4443310.0,,2019,,,
MAYFAIR INSURANCE COMPANY ,1000000.0,0.0,456658.0,0.0,1449530.0,0.0,2906188.0,2262240.0,0.0,0.0,445194.0,5613622.0,265885.0,426088.0,96990.0,1588695.0,0.0,710899.0,0.0,0.0,0.0,159880.0,659168.0,0.0,0.0,9846.0,0.0,975933.0,63810.0,517279.0,0.0,132330.0,6820.0,5613622.0,,2019,,,
METROPOLITAN CANNON INSURANCE,453960.0,583040.0,0.0,0.0,-143067.0,0.0,893933.0,1063047.0,0.0,0.0,289399.0,2246378.0,92500.0,264000.0,16293.0,1134797.0,0.0,18526.0,0.0,0.0,0.0,0.0,42675.0,0.0,0.0,425.0,31699.0,294775.0,32654.0,89286.0,18519.0,147907.0,62322.0,2246378.0,,2019,,,
MUA INSURANCE COMPANY,300000.0,0.0,9981.0,0.0,553834.0,0.0,863816.0,469141.0,0.0,0.0,215564.0,1548520.0,0.0,0.0,12533.0,607456.0,0.0,143807.0,0.0,0.0,0.0,64274.0,0.0,0.0,0.0,2157.0,0.0,115553.0,11948.0,468154.0,9901.0,68245.0,44492.0,1548520.0,,2019,,,
OCCIDENTAL INSURANCE COMPANY ,693000,0,51465,0,730430,85010,1559905,1825376,0,0,457021,3842302,0,410000,69257,1485648,0,0,7251,0,0,262421,825,0,0,0,0,238943,108790,739334,206204,188149,125479,3842302,,2019, Continued next page,,
PACIS INSURANCE COMPANY ,617350.0,5712.0,0.0,0.0,110008.0,0.0,733070.0,1132995.0,0.0,0.0,412905.0,2278970.0,113850.0,730000.0,30620.0,238076.0,0.0,0.0,0.0,0.0,0.0,38412.0,177009.0,0.0,0.0,0.0,0.0,93514.0,17621.0,601175.0,0.0,172017.0,66675.0,2278970.0,,2019,,,
PIONEER GENERAL INSURANCE ,700000.0,0.0,0.0,0.0,-2411.0,0.0,697589.0,581793.0,0.0,0.0,125739.0,1405120.0,0.0,300000.0,14360.0,79266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,0.0,390368.0,137165.0,295359.0,104526.0,20900.0,62306.0,1405120.0,,2019,,,
RESOLUTION  INSURANCE COMPANY,410000.0,1490000.0,2815.0,0.0,-2340216.0,0.0,-437401.0,1880010.0,0.0,0.0,3732035.0,5174644.0,0.0,0.0,117423.0,264583.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,726726.0,250349.0,1142994.0,1571878.0,900713.0,199978.0,5174644.0,,2019,,0.0,
SAHAM INSURANCE COMPANY,402000.0,0.0,-10654.0,0.0,306886.0,0.0,698232.0,855969.0,0.0,101336.0,436294.0,2091830.0,0.0,80000.0,8570.0,596717.0,0.0,0.0,36642.0,0.0,0.0,26433.0,,0.0,0.0,0.0,4801.0,434485.0,210414.0,213588.0,4563.0,371846.0,103771.0,2091830.0,,2019,,0.0,
SANLAM INSURANCE COMPANY,1028998.0,100361.0,0.0,0.0,-84829.0,0.0,1044531.0,1605246.0,0.0,0.0,255711.0,2905488.0,0.0,490000.0,89105.0,856050.0,0.0,0.0,0.0,0.0,0.0,0.0,,754.0,0.0,501.0,0.0,96742.0,155341.0,765303.0,8390.0,336043.0,107258.0,2905488.0,,2019,,0.0,
TAKAFUL INSURANCE OF AFRICA ,486804.0,66601.0,25539.0,0.0,-250787.0,0.0,328157.0,1192346.0,0.0,30000.0,648135.0,2198639.0,0.0,24500.0,48228.0,11711.0,19747.0,0.0,49701.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,289272.0,189166.0,432803.0,8017.0,1019235.0,106260.0,2198639.0,,2019,,0.0,
TAUSI ASSURANCE COMPANY,600000.0,0.0,191593.0,0.0,910126.0,50821.0,1752540.0,755457.0,0.0,68230.0,133365.0,2709592.0,317500.0,0.0,26361.0,1444822.0,0.0,0.0,0.0,0.0,0.0,218739.0,,0.0,0.0,4915.0,76383.0,390406.0,37567.0,77507.0,0.0,50633.0,58002.0,2709592.0,,2019,,6755.0,
THE KENYAN ALLIANCE INSURANCE COMPANY,300000.0,0.0,0.0,2750.0,1011705.0,-5958.0,1308497.0,1323634.0,0.0,302170.0,993547.0,3927848.0,290266.0,1101091.0,58883.0,332165.0,0.0,0.0,0.0,0.0,0.0,16639.0,,0.0,0.0,125647.0,0.0,267279.0,37352.0,937588.0,453686.0,187680.0,83727.0,3927848.0,,2019,,35846.0,
THE MONARCH INSURANCE COMPANY,445024.0,0.0,0.0,0.0,244049.0,0.0,689073.0,1332222.0,0.0,0.0,69978.0,2091273.0,0.0,737018.0,30810.0,112474.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,184406.0,8587.0,786682.0,9773.0,134633.0,86831.0,2091273.0,,2019,,59.0,
TRIDENT INSURANCE COMPANY ,500000.0,0.0,184225.0,0.0,1013134.0,25000.0,1722359.0,1898818.0,0.0,0.0,494701.0,4115877.0,240660.0,1716399.0,7369.0,243050.0,15000.0,615600.0,0.0,0.0,0.0,6510.0,,0.0,0.0,910348.0,0.0,0.0,47937.0,145780.0,31888.0,105806.0,85.0,4115877.0,,2019,,29446.0,
UAP INSURANCE COMPANY ,1000000.0,0.0,0.0,0.0,5219001.0,900000.0,7119001.0,6032467.0,0.0,0.0,1484132.0,14635600.0,0.0,3657700.0,132824.0,4638628.0,0.0,0.0,161136.0,0.0,0.0,1390589.0,,0.0,0.0,599079.0,300450.0,555258.0,300024.0,1307183.0,225636.0,941347.0,319083.0,14635600.0,,2019,,106664.0,
WAICA REINSURANCE KENYA LIMITED,1102550.0,0.0,0.0,0.0,-52321.0,0.0,1050229.0,113598.0,0.0,0.0,217087.0,1380914.0,0.0,0.0,47124.0,193506.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,818055.0,21030.0,201333.0,15010.0,27068.0,57789.0,1380914.0,,2019,,0.0,
XPLICO INSURANCE COMPANY ,887500.0,0.0,0.0,0.0,105763.0,220000.0,1213263.0,1299011.0,0.0,0.0,271951.0,2784224.0,0.0,722200.0,84830.0,137400.0,57938.0,245251.0,0.0,0.0,0.0,0.0,,0.0,0.0,20034.0,0.0,214108.0,76977.0,778479.0,123178.0,271784.0,52046.0,2784224.0,,2019,,0.0,
TOTAL,41868795.0,3430445.0,2946734.0,2750.0,51860021.0,3992617.0,104101362.0,106172927.0,0.0,1518048.0,30319444.0,242111781.0,6466513.0,36797581.0,2352193.0,75868925.0,359061.0,11043973.0,1503927.0,66412.0,0.0,7711956.0,,1237.0,0.0,3702808.0,1570032.0,23024663.0,7423257.0,29921902.0,6527928.0,16132860.0,7816462.0,242111781.0,,2019,,3820091.0,
AAR INSURANCE KENYA ,500000.0,660523.0,0.0,0.0,-597384.0,0.0,563138.0,2715606.0,0.0,0.0,537265.0,3816009.0,0.0,0.0,92304.0,1366924.0,0.0,0.0,108981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608649.0,262446.0,455690.0,333332.0,375377.0,212306.0,3816009.0,,2018,,,
AFRICAN MERCHANT ASSURANCE ,987386.0,0.0,16222.0,0.0,545835.0,0.0,1549442.0,1545366.0,0.0,0.0,297488.0,3392297.0,731610.0,535000.0,123403.0,507375.0,0.0,0.0,0.0,0.0,5350.0,21435.0,0.0,0.0,0.0,9070.0,0.0,378822.0,81242.0,668991.0,37438.0,193654.0,98906.0,3392297.0,,2018,,,
AIG INSURANCE COMPANY ,450000.0,0.0,17251.0,0.0,1410391.0,300000.0,2177642.0,986999.0,0.0,0.0,1956504.0,5121145.0,0.0,0.0,137764.0,3248307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15196.0,0.0,380786.0,185253.0,730610.0,70322.0,340607.0,12300.0,5121145.0,,2018,,,
ALLIANZ INSURANCE COMPANY,1000000.0,0.0,0.0,0.0,-289750.0,0.0,710250.0,196392.0,0.0,0.0,434284.0,1340926.0,0.0,0.0,55105.0,55834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200211.0,527153.0,160081.0,0.0,11458.0,331083.0,1340926.0,,2018,,,
APA INSURANCE COMPANY ,1250000.0,0.0,0.0,0.0,3463395.0,189191.0,4902586.0,7850566.0,0.0,0.0,435963.0,13189115.0,0.0,1000000.0,82953.0,5768374.0,27687.0,627607.0,327354.0,0.0,0.0,1076106.0,5515.0,0.0,0.0,31350.0,76990.0,2015421.0,137714.0,1271007.0,110494.0,410485.0,220058.0,13189115.0,,2018,,,
BRITAM GENERAL INSURANCE COMPANY,2668000.0,0.0,0.0,0.0,332938.0,0.0,3000938.0,5166045.0,0.0,0.0,2234952.0,10401934.0,41305.0,0.0,83123.0,4402507.0,0.0,0.0,402931.0,0.0,0.0,623975.0,13042.0,0.0,0.0,0.0,0.0,256678.0,1351998.0,1798583.0,0.0,809265.0,618528.0,10401934.0,,2018,,,
CIC GENERAL INSURANCE COMPANY,1700000.0,0.0,0.0,0.0,2569662.0,-125443.0,4144219.0,6825646.0,0.0,0.0,376788.0,11346654.0,234000.0,1602000.0,175795.0,2249307.0,185819.0,0.0,160203.0,63041.0,0.0,509755.0,20950.0,0.0,0.0,0.0,107496.0,2380461.0,203932.0,2334618.0,140100.0,871386.0,107789.0,11346654.0,,2018,,,
CONTINENTAL REINSURANCE ,800000.0,0.0,556.0,0.0,346008.0,0.0,1146564.0,1066391.0,0.0,0.0,152534.0,2365489.0,0.0,0.0,12915.0,950072.0,0.0,0.0,8727.0,0.0,0.0,0.0,0.0,0.0,0.0,9724.0,4447.0,129908.0,6417.0,743742.0,1583.0,272770.0,225184.0,2365489.0,,2018,,,
CORPORATE INSURANCE COMPANY ,400000,0,0,0,520865,1092,921957,333584,0,6053,106161,1367755,0,832500,5146,113709,0,0,0,0,0,0,932,0,0,0,0,10027,3135,286880,13867,83931,17628,1367755, Continued next page,2018,,,
DIRECTLINE ASSURANCE COMPANY,300000.0,0.0,-107878.0,0.0,764099.0,0.0,956221.0,4374041.0,0.0,0.0,236608.0,5566870.0,397000.0,1692606.0,26013.0,830371.0,0.0,536006.0,0.0,0.0,0.0,108357.0,0.0,0.0,0.0,16671.0,0.0,1059780.0,467044.0,137256.0,0.0,236602.0,59165.0,5566870.0,,2018,,,
EAST AFRICA REINSURANCE COMPANY ,1000000.0,0.0,299955.0,0.0,2251662.0,5011.0,3556629.0,2462057.0,0.0,119483.0,998995.0,7137163.0,510890.0,825000.0,9833.0,2257377.0,0.0,0.0,521353.0,0.0,0.0,29860.0,0.0,0.0,0.0,11787.0,59885.0,1178029.0,181943.0,1007074.0,75115.0,148081.0,320937.0,7137163.0,,2018,,,
FIDELITY SHIELD INSURANCE COMPANY ,600000.0,0.0,106980.0,0.0,535852.0,0.0,1242832.0,1707272.0,0.0,0.0,109036.0,3059140.0,272117.0,1015883.0,13599.0,588539.0,0.0,0.0,0.0,0.0,0.0,109950.0,0.0,0.0,0.0,2318.0,7986.0,269157.0,131759.0,386042.0,0.0,183056.0,78734.0,3059140.0,,2018,,,
FIRST ASSURANCE COMPANY ,660000.0,512139.0,256865.0,0.0,73997.0,0.0,1503001.0,2113895.0,0.0,0.0,1055845.0,4672741.0,355000.0,1450000.0,38848.0,1253518.0,0.0,0.0,29467.0,0.0,0.0,0.0,0.0,0.0,0.0,27307.0,0.0,291944.0,133277.0,679180.0,0.0,306508.0,107692.0,4672741.0,,2018,,,
GA GENERAL INSURANCE COMPANY,700000.0,0.0,854966.0,0.0,2410783.0,275364.0,4241113.0,4755928.0,0.0,0.0,1461701.0,10458741.0,1170000.0,1554000.0,41514.0,3055485.0,0.0,356109.0,261885.0,0.0,0.0,428452.0,304015.0,0.0,0.0,218216.0,0.0,829751.0,157687.0,1579016.0,24675.0,102693.0,375244.0,10458741.0,,2018,,,
GEMINIA INSURANCE COMPANY LIMITED,550000.0,0.0,617992.0,0.0,601455.0,77074.0,1846521.0,3469777.0,0.0,3700.0,375131.0,5695129.0,482530.0,1012000.0,208301.0,1096712.0,0.0,86571.0,24300.0,0.0,0.0,140688.0,7596.0,0.0,0.0,129510.0,0.0,1151747.0,145239.0,1078803.0,26193.0,97726.0,7211.0,5695129.0,,2018,,,
GHANA RE-INSURANCE COMPANY LIMITED,1000000.0,10871.0,0.0,0.0,52705.0,0.0,1063576.0,171970.0,0.0,0.0,26250.0,1261796.0,31170.0,0.0,8026.0,917167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085.0,0.0,43010.0,109832.0,101588.0,2439.0,27403.0,19076.0,1261796.0,,2018,,,
HERITAGE INSURANCE COMPANY ,500000.0,0.0,0.0,0.0,2585765.0,0.0,3085765.0,3263758.0,0.0,0.0,1108458.0,7457982.0,0.0,0.0,69858.0,3133240.0,0.0,146557.0,98322.0,0.0,0.0,285196.0,0.0,0.0,0.0,37742.0,225142.0,2028023.0,227754.0,742281.0,46763.0,351971.0,65134.0,7457982.0,,2018,,,
ICEA LION GENERAL INSURANCE COMPANY ,1000000.0,0.0,-25365.0,0.0,3247157.0,200000.0,4421792.0,4114307.0,0.0,423484.0,768755.0,9728338.0,0.0,2750000.0,88891.0,4427685.0,47615.0,50147.0,232922.0,0.0,0.0,845473.0,7403.0,0.0,0.0,20056.0,0.0,176772.0,8895.0,509260.0,121080.0,235853.0,206286.0,9728338.0,,2018,,,
INTRA-AFRICA ASSURANCE COMPANY ,500000,0,348572,0,26526,0,875098,949681,0,49808,29483,1904071,134070,313430,27742,229233,0,0,0,0,0,57094,0,0,0,21671,12733,293921,93728,569348,90641,0,60460,1904071,Continued next page,2018,,,
INVESCO ASSURANCE COMPANY ,1925000.0,0.0,-129.0,0.0,-1603765.0,0.0,321106.0,2731099.0,0.0,0.0,231752.0,3283957.0,70711.0,1423480.0,34871.0,174000.0,0.0,0.0,0.0,0.0,0.0,1319.0,625.0,0.0,0.0,0.0,0.0,58664.0,46082.0,670978.0,276045.0,0.0,527182.0,3283957.0,,2018,,,
JUBILEE INSURANCE COMPANY,2000000.0,0.0,-55799.0,0.0,5108199.0,0.0,7052400.0,4987825.0,0.0,0.0,1703858.0,13744083.0,0.0,0.0,62983.0,3833458.0,0.0,1949419.0,7159.0,0.0,0.0,1401117.0,624298.0,402.0,0.0,4315.0,45245.0,807621.0,362824.0,3140011.0,921563.0,327954.0,255713.0,13744083.0,,2018,,,
KENINDIA ASSURANCE COMPANY ,400000.0,1198.0,375303.0,0.0,2234184.0,427860.0,3438545.0,2616779.0,0.0,310146.0,1743374.0,8108844.0,789724.0,1272538.0,58028.0,2718541.0,0.0,105612.0,52525.0,0.0,0.0,37832.0,624274.0,0.0,0.0,10562.0,0.0,586500.0,13082.0,580689.0,0.0,1216580.0,42357.0,8108844.0,,2018,,,
KENYA ORIENT INSURANCE COMPANY ,810721.0,0.0,-30516.0,0.0,-235251.0,190000.0,734955.0,1109114.0,0.0,185397.0,89137.0,2118603.0,137891.0,358323.0,25875.0,151380.0,0.0,134000.0,5258.0,0.0,0.0,6920.0,366725.0,0.0,0.0,0.0,0.0,93835.0,71584.0,392178.0,13766.0,286668.0,74199.0,2118603.0,,2018,,,
KENYA REINSURANCE CORPORATION,1249873.0,0.0,15718.0,0.0,22165652.0,221234.0,23652477.0,10126500.0,0.0,0.0,401631.0,34180609.0,0.0,8430000.0,68541.0,11991015.0,0.0,4661744.0,475912.0,0.0,0.0,1311577.0,202231.0,81.0,0.0,0.0,716550.0,920336.0,154455.0,3098428.0,305945.0,370504.0,1473289.0,34180609.0,,2018,,,
MADISON GENERAL INSURANCE COMPANY,605000.0,0.0,0.0,0.0,719953.0,0.0,1324953.0,3013814.0,0.0,0.0,309637.0,4648404.0,0.0,1030000.0,49447.0,533372.0,11723.0,0.0,0.0,0.0,0.0,1518.0,0.0,0.0,0.0,0.0,0.0,1229303.0,124216.0,1012124.0,391800.0,62861.0,202041.0,4648404.0,,2018,,,
MAYFAIR INSURANCE COMPANY ,1000000.0,0.0,435603.0,0.0,1265037.0,0.0,2700640.0,2079236.0,0.0,0.0,358878.0,5138754.0,265885.0,426088.0,88374.0,1039620.0,0.0,639665.0,52493.0,0.0,0.0,163902.0,647986.0,0.0,0.0,12606.0,0.0,1165633.0,17675.0,521596.0,0.0,92324.0,4908.0,5138754.0,,2018,,,
METROPOLITAN CANNON INSURANCE,453960.0,583039.0,0.0,0.0,-179628.0,0.0,857372.0,1145056.0,0.0,0.0,334934.0,2337362.0,92500.0,264000.0,22127.0,899675.0,0.0,20376.0,16048.0,0.0,0.0,48748.0,65767.0,0.0,0.0,3185.0,32582.0,367908.0,41377.0,223423.0,161458.0,17979.0,60208.0,2337362.0,,2018,,,
MUA INSURANCE COMPANY,300000.0,0.0,-9366.0,0.0,545461.0,0.0,836095.0,435803.0,0.0,0.0,140954.0,1412852.0,0.0,0.0,18238.0,516456.0,0.0,143807.0,0.0,0.0,0.0,44927.0,0.0,0.0,0.0,1827.0,0.0,173132.0,19488.0,369482.0,28604.0,49396.0,47495.0,1412852.0,,2018,,,
OCCIDENTAL INSURANCE COMPANY ,693000,0,-18797,0,588633,58004,1320839,1961017,0,6463,277216,3565535,0,540000,79477,1376751,0,0,10963,0,0,176677,825,0,0,0,0,112781,111093,983712,33344,11600,128314,3565535,,2018, Continued next page,,
PACIS INSURANCE COMPANY ,577560.0,5712.0,0.0,0.0,450127.0,30000.0,1063399.0,802626.0,0.0,0.0,323103.0,2189128.0,113850.0,730000.0,33193.0,240700.0,0.0,0.0,0.0,0.0,0.0,40975.0,113089.0,0.0,0.0,0.0,0.0,129215.0,12474.0,648091.0,0.0,52916.0,74625.0,2189128.0,,2018,,,
PIONEER GENERAL INSURANCE ,600000.0,0.0,0.0,0.0,-5516.0,0.0,594484.0,394675.0,0.0,0.0,209625.0,1198784.0,0.0,0.0,7635.0,69376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0,0.0,724749.0,20395.0,219061.0,88354.0,13974.0,54486.0,1198784.0,,2018,,,
RESOLUTION  INSURANCE COMPANY,410000.0,1490000.0,2088.0,0.0,-2070236.0,0.0,-168148.0,1955210.0,0.0,0.0,2819953.0,4607014.0,0.0,0.0,111613.0,133018.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,677808.0,365743.0,998759.0,1265422.0,796832.0,257818.0,4607014.0,,2018,,0.0,
SAHAM INSURANCE COMPANY,402000.0,0.0,-11977.0,0.0,263430.0,0.0,653453.0,872382.0,0.0,0.0,314484.0,1840319.0,0.0,0.0,13490.0,787045.0,0.0,0.0,59046.0,0.0,0.0,25470.0,,0.0,0.0,0.0,6411.0,349702.0,130150.0,183694.0,12565.0,159070.0,113677.0,1840319.0,,2018,,0.0,
SANLAM INSURANCE COMPANY,1028998.0,100361.0,0.0,0.0,-89247.0,0.0,1040112.0,1460033.0,0.0,0.0,366891.0,2867036.0,0.0,516700.0,59996.0,793700.0,0.0,0.0,14746.0,0.0,0.0,568.0,,0.0,0.0,2050.0,0.0,272421.0,144829.0,608553.0,0.0,438423.0,15051.0,2867036.0,,2018,,0.0,
TAKAFUL INSURANCE OF AFRICA ,486804.0,66601.0,0.0,0.0,-203615.0,0.0,349790.0,969510.0,0.0,40738.0,473951.0,1833990.0,0.0,21100.0,22488.0,32907.0,0.0,0.0,56750.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,397325.0,83304.0,460770.0,0.0,661753.0,97592.0,1833990.0,,2018,,0.0,
TAUSI ASSURANCE COMPANY,600000.0,0.0,171009.0,0.0,718609.0,-767.0,1488851.0,685641.0,0.0,62545.0,155935.0,2392973.0,298013.0,0.0,23428.0,1156598.0,0.0,0.0,7012.0,0.0,0.0,194195.0,,0.0,0.0,6949.0,126752.0,371861.0,41805.0,82728.0,0.0,22497.0,54645.0,2392973.0,,2018,,6493.0,
THE KENYAN ALLIANCE INSURANCE COMPANY,300000.0,0.0,2750.0,0.0,949140.0,-5202.0,1246688.0,1339402.0,0.0,0.0,343165.0,2929255.0,0.0,1065349.0,42683.0,332128.0,0.0,0.0,10493.0,0.0,0.0,17436.0,,0.0,0.0,167229.0,0.0,105998.0,18971.0,716284.0,259067.0,117999.0,59154.0,2929255.0,,2018,,16465.0,
THE MONARCH INSURANCE COMPANY,316476.0,0.0,0.0,0.0,218015.0,0.0,534491.0,1205510.0,0.0,0.0,41928.0,1781929.0,0.0,665964.0,25189.0,103801.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,123481.0,9890.0,713228.0,2831.0,65801.0,71684.0,1781929.0,,2018,,59.0,
TRIDENT INSURANCE COMPANY ,500000.0,0.0,188404.0,0.0,1080557.0,25000.0,1793961.0,1608058.0,0.0,54823.0,721054.0,4177896.0,240660.0,1716399.0,7015.0,236561.0,19800.0,615600.0,20000.0,0.0,0.0,5348.0,,0.0,0.0,975370.0,0.0,0.0,6181.0,295090.0,31888.0,0.0,0.0,4177896.0,,2018,,7985.0,
UAP INSURANCE COMPANY ,1000000.0,0.0,0.0,0.0,5143356.0,1300000.0,7443356.0,6449367.0,0.0,0.0,690869.0,14583592.0,0.0,3713400.0,140547.0,3893614.0,0.0,0.0,479054.0,0.0,0.0,1063815.0,,0.0,0.0,1349549.0,250251.0,339676.0,698802.0,1393585.0,436305.0,397270.0,317256.0,14583592.0,,2018,,110469.0,
WAICA REINSURANCE KENYA LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2018,,0.0,
XPLICO INSURANCE COMPANY ,887500.0,0.0,0.0,0.0,164740.0,220000.0,1272240.0,877296.0,0.0,0.0,262567.0,2412103.0,0.0,674400.0,98617.0,126400.0,77250.0,245251.0,0.0,0.0,0.0,0.0,,0.0,0.0,20034.0,0.0,214108.0,62434.0,610008.0,134961.0,108128.0,40512.0,2412103.0,,2018,,0.0,
TOTAL,33112278.0,3430444.0,3450407.0,0.0,58079796.0,3388418.0,101461343.0,102895234.0,0.0,1262640.0,25017097.0,230636317.0,6368926.0,37430160.0,2394988.0,67591852.0,369894.0,10318471.0,3443904.0,63041.0,5350.0,8778685.0,,483.0,0.0,3107132.0,1672470.0,22905154.0,6973302.0,33162522.0,5457960.0,10329355.0,7115927.0,230636317.0,,2018,,3146744.0,
AAR INSURANCE KENYA ,400000.0,600523.0,0.0,0.0,-344837.0,0.0,655686.0,2627879.0,0.0,0.0,303761.0,3587325.0,0.0,0.0,110081.0,1258329.0,0.0,0.0,107633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792967.0,33681.0,610225.0,206830.0,252245.0,215334.0,3587325.0,,2017,,,
AFRICAN MERCHANT ASSURANCE COMPANY ,987386.0,0.0,0.0,0.0,506236.0,20852.0,1514474.0,2098941.0,0.0,0.0,260911.0,3874326.0,732676.0,530000.0,137119.0,502551.0,0.0,0.0,11012.0,0.0,0.0,26065.0,0.0,0.0,0.0,12463.0,0.0,617741.0,98007.0,843150.0,43958.0,180007.0,139577.0,3874326.0,,2017,,,
AIG INSURANCE COMPANY ,450000.0,0.0,-2732.0,0.0,1332637.0,300000.0,2079905.0,1026522.0,0.0,0.0,1615395.0,4721822.0,0.0,510000.0,52849.0,2995295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9929.0,0.0,1101.0,92189.0,644915.0,143293.0,271277.0,974.0,4721822.0,,2017,,,
ALLIANZ INSURANCE COMPANY,1000000.0,0.0,0.0,0.0,-154663.0,0.0,845337.0,127563.0,0.0,0.0,212282.0,1185182.0,0.0,0.0,66405.0,677842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51210.0,81378.0,104691.0,0.0,128412.0,75245.0,1185182.0,,2017,,,
APA INSURANCE COMPANY ,1250000.0,0.0,0.0,0.0,4277802.0,474787.0,6002589.0,7647234.0,0.0,0.0,529845.0,14179668.0,0.0,1313000.0,98466.0,7332330.0,25516.0,618675.0,361573.0,0.0,0.0,1175915.0,21086.0,0.0,0.0,53231.0,77775.0,633241.0,219764.0,1669207.0,64979.0,303212.0,211698.0,14179668.0,,2017,,,
BRITAM GENERAL INSURANCE COMPANY,2668000.0,0.0,0.0,0.0,716566.0,0.0,3384566.0,5777555.0,0.0,0.0,1434587.0,10596709.0,41425.0,0.0,110397.0,4739779.0,0.0,0.0,462139.0,0.0,0.0,636641.0,21567.0,0.0,0.0,0.0,0.0,463465.0,1311858.0,1109422.0,0.0,837475.0,862540.0,10596709.0,,2017,,,
CANNON ASSURANCE COMPANY ,453960.0,396040.0,0.0,0.0,-265937.0,0.0,584063.0,1296943.0,0.0,0.0,534080.0,2415087.0,90000.0,276000.0,30532.0,817261.0,0.0,20883.0,26836.0,0.0,0.0,207345.0,241493.0,0.0,0.0,5951.0,33089.0,150374.0,32348.0,205552.0,139634.0,36087.0,101700.0,2415087.0,,2017,,,
CIC GENERAL INSURANCE COMPANY,1700000.0,0.0,0.0,0.0,2469456.0,-173813.0,3995643.0,6890013.0,0.0,0.0,573147.0,11458803.0,234000.0,1588000.0,218521.0,2738823.0,269668.0,0.0,235150.0,40577.0,0.0,578556.0,23124.0,0.0,0.0,94764.0,162381.0,1873853.0,132463.0,2139829.0,136259.0,948775.0,44061.0,11458803.0,,2017,,,
CONTINENTAL REINSURANCE ,800000,0,-101,0,256273,0,1056172,799616,0,0,104188,1959976,0,0,20373,611651,0,0,18068,0,0,601,0,0,0,10997,5355,315763,2919,596072,0,378178,0,1959976, Continued next page,2017,,,
CORPORATE INSURANCE COMPANY ,400000.0,0.0,0.0,0.0,547938.0,0.0,947938.0,313713.0,0.0,0.0,110158.0,1371809.0,0.0,813500.0,3958.0,129508.0,0.0,0.0,0.0,0.0,0.0,1626.0,1151.0,0.0,0.0,2966.0,0.0,18956.0,7911.0,285606.0,5414.0,83931.0,17283.0,1371809.0,,2017,,,
DIRECTLINE ASSURANCE COMPANY ,300000.0,0.0,-84287.0,0.0,851153.0,0.0,1066865.0,4395967.0,0.0,619390.0,96657.0,6178880.0,397000.0,1332000.0,16594.0,800175.0,0.0,9667.0,0.0,0.0,0.0,132948.0,0.0,0.0,0.0,16583.0,0.0,405429.0,1162386.0,0.0,0.0,1836707.0,69391.0,6178880.0,,2017,,,
